title,stars,name,text,label,processed_text,predicted_label,prediction_confidence,Advertisement_Flag,Irrelevant_Content_Flag,Rant_Flag,Clean_Review_Flag,Irrelevant_Flag,Feedback_Flag
Paragon Shopping Centre,5.0,Florence Leow,"Paragon Mall
290 Orchard Rd, Singapore 238859

 The Paragon is an upscale shopping complex located in the heart of Orchard Road area in Singapore.

âœ³ï¸ It has 6 floors of shopping and is connected to Paragon Medical Centre.

â— There is a food hall & supermarket at B1 level.",feedback,paragon mall 290 orchard rd singapore 238859 paragon upscale shopping complex located heart orchard road area singapore. 6 floor shopping connected paragon medical centre. food hall supermarket b1 level.,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Hui zhao (Zoe),"The small playground on the 5th floor is very nice, clean and free. Kids love it. We can easily spend half hour here with kids and get a rest for parents",feedback,small playground 5th floor nice clean free. kid love it. easily spend half hour kid get rest parent,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Beary Beary,"One of the Most Successful Malls

This mall has been a strong Orchard Road shopping attraction since the day it opened.  Positioned as a high end mall, it still offers options for everyone. It has an excellent mix of retailers, a large department store, supermarket and many coffeshops and  restaurants.",feedback,one successful mall mall strong orchard road shopping attraction since day opened. positioned high end mall still offer option everyone. excellent mix retailer large department store supermarket many coffeshops restaurants.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,tomyumdumpling,"Visited Paragon to grab a snack. We were delighted to hear the lion dance sounds and performance. It turns out that Lancome is having a pop event during this lunar new year period. Paragon is a nice air conditioned mall with many luxury brands. There is also a good variety of food located at the basement floor.
Upon leaving, there are also 2 fluffy looking dogs that surprised us!",feedback,visited paragon grab snack. delighted hear lion dance sound performance. turn lancome pop event lunar new year period. paragon nice air conditioned mall many luxury brands. also good variety food located basement floor. upon leaving also 2 fluffy looking dog surprised u,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Judith Loh,"Love the location. Accessible to all the good brands The energy there is fantastic. Driving out of the carpark can be a torment though as it is franking a heavily used road. However, sometimes there are traffic warden to block traffic so that patrons of the mall can get out easily.",feedback,love location. accessible good brand energy fantastic. driving carpark torment though franking heavily used road. however sometimes traffic warden block traffic patron mall get easily.,feedback,0.87,0,0,0,1,0,1
Paragon Shopping Centre,5.0,C G,"Paragon Shopping Centre in Singapore is a luxurious destination that offers a premium shopping experience. ï¸ As a traveler, stepping into Paragon is like entering a haven of high-end brands and sophisticated ambiance. The mall is impeccably clean and well-organized, making it a pleasure to explore each level.

The variety of stores at Paragon is impressive, catering to every taste and style. From international luxury brands like Gucci and Prada to local boutiques, thereâ€™s something for everyone.  I was particularly impressed with the wide selection of designer fashion, accessories, and jewelry. The attentive and friendly staff in each store made my shopping experience even more enjoyable.

Dining at Paragon is equally delightful, with an array of restaurants and cafes offering diverse culinary experiences. ï¸ I indulged in delicious meals at some of the finest eateries, from gourmet Western dishes to authentic Asian cuisine. The food court also offers a fantastic range of affordable and tasty options.

Paragonâ€™s location on Orchard Road makes it incredibly convenient for tourists.  Itâ€™s easily accessible by public transport and is surrounded by other popular shopping spots. After a day of shopping, I appreciated the mall's serene atmosphere and comfortable seating areas where I could relax and people-watch. Paragon Shopping Centre is undoubtedly a must-visit for any shopaholic visiting Singapore.",feedback,paragon shopping centre singapore luxurious destination offer premium shopping experience. traveler stepping paragon like entering high-end brand sophisticated ambiance. mall impeccably clean well-organized making pleasure explore level. variety store paragon impressive catering every taste style. international luxury brand like gucci prada local boutique something everyone. particularly impressed wide selection designer fashion accessory jewelry. attentive friendly staff store made shopping experience even enjoyable. dining paragon equally delightful array restaurant cafe offering diverse culinary experiences. indulged delicious meal finest eatery gourmet western dish authentic asian cuisine. food court also offer fantastic range affordable tasty options. paragon location orchard road make incredibly convenient tourists. easily accessible public transport surrounded popular shopping spots. day shopping appreciated mall serene atmosphere comfortable seating area could relax people-watch. paragon shopping centre undoubtedly must-visit shopaholic visiting singapore.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Kevin Tan,"Nice upmarket mall in orchard road. Lots of dining options. Building is also home to a variety of specialist clinics at the higher levels. At the lower levels, the mall offers a variety of F&B and retail options. There are many cafes and restaurants too. There is also a supermarket and pharmacy in the basement. Metro departmental store takes up three levels here, just under toys r us, which is located at the fifth level.",feedback,nice upmarket mall orchard road. lot dining options. building also home variety specialist clinic higher levels. lower level mall offer variety f b retail options. many cafe restaurant too. also supermarket pharmacy basement. metro departmental store take three level toy r u located fifth level.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Ju J,Mall for Luxury Goods. Combined with medical clinics on higher levels. Atrium with Christmas items for sale during festive period,feedback,mall luxury goods. combined medical clinic higher levels. atrium christmas item sale festive period,feedback,0.96,0,0,0,1,0,1
Paragon Shopping Centre,5.0,amir hossain ripon,"Nice shopping mall
Have luxury all brand
Clean / Toilets and wash room available.
B1 have Restaurant / copi shop/ cold storage/ Harbal shop etc
Have medical centre / car parking",feedback,nice shopping mall luxury brand clean / toilet wash room available. b1 restaurant / copi shop/ cold storage/ harbal shop etc medical centre / car parking,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Yuan Li,They updated membership reward app so when earned points can use it as cash. Much easier than before,feedback,updated membership reward app earned point use cash. much easier,feedback,0.97,0,0,0,1,0,1
Paragon Shopping Centre,5.0,S L,"Went to Paragon not for shopping but to their medical tower. Was referred to Caring Hands Physiotherapy by the Ortho Doctor. All the staff are friendly and helpful especially the Physiotherapist herself, very patient and provided expert advice and guidance on how to build knee muscle.",feedback,went paragon not shopping medical tower. referred caring hand physiotherapy ortho doctor. staff friendly helpful especially physiotherapist patient provided expert advice guidance build knee muscle.,feedback,0.97,0,0,0,1,0,1
Paragon Shopping Centre,4.0,Cindy Sim,"PS cafe  .  . .good food, worthy of the bill.",feedback,p cafe . . .good food worthy bill.,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Ak,"The shopping mall is not so modern looking or feeling in 2020, but the selections of the stores in this shopping mall is really great. Under Armour, Nike, Adidas, Planet Traveller, North Face, Bose, and so many other stores here!!!",feedback,shopping mall not modern looking feeling 2020 selection store shopping mall really great. armour nike adidas planet traveller north face bose many store,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Din Neo,"This is a busy mall with many shops, eateries, supermarket and many others. Very nice Mall with a mixture of branded boutiques. Paragon is located just beside Rolex building and opposite Ngee Ann City.",feedback,busy mall many shop eatery supermarket many others. nice mall mixture branded boutiques. paragon located beside rolex building opposite ngee ann city.,feedback,0.97,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Marklin Ho,"An opulence of peace, quiet and decorum is brought to life here 

I love the atmosphere of this shopping mall because people here seem to be more well-mannered and cordial  less uncouth behaviour like the lazy dragging of shoes / slippers when walking and none of that barbaric â€œschatum schatumâ€ sound when chewing food. Of course, nothing wrong with that if you have such habits as all are born and brought up differently.

Plenty of malls with more relaxed demeanour and bustling with noise which is fine to immerse myself in once a while. However, I prefer peace and quiet if I have the choice and Paragon is highly recommended if you live or work nearby â¤ï¸ or like me, prefer an environment which oozes out such a prized commodity (peace and quiet) in Singapore with ease.",feedback,opulence peace quiet decorum brought life love atmosphere shopping mall people seem well-mannered cordial less uncouth behaviour like lazy dragging shoe / slipper walking none barbaric schatum schatum sound chewing food. course nothing wrong habit born brought differently. plenty mall relaxed demeanour bustling noise fine immerse while. however prefer peace quiet choice paragon highly recommended live work nearby like prefer environment ooze prized commodity peace quiet singapore ease.,feedback,0.98,0,0,0,1,0,1
Paragon Shopping Centre,4.0,sam Mariella,"PARAGON had been renovated and face-lift   as we see it today.  The facade is beautiful, there is a sense of spacious, be it you stand outside at the entrance, or when you walk first time inside.

It is not the biggest in orchard, probably stood as the medium size with several world  class boutiques.

At basement, there are midi supermarket. ( Cold storage), restorants ( Ding Tai Fung, LA shrimp, Soup, etc) cafes and booths. I like to stroll at basement. Crystal Jade is at 5 FL.

They have a 20 floor medical clinic tower / centre at the back side if you happen visiting doctor.

Paragon can be reached from Orchard MRT Station or Somerset station. Taxi stand is at the side road ( Bideford road).",feedback,paragon renovated face-lift see today. facade beautiful sense spacious stand outside entrance walk first time inside. not biggest orchard probably stood medium size several world class boutiques. basement midi supermarket. cold storage restorants ding tai fung la shrimp soup etc cafe booths. like stroll basement. crystal jade 5 fl. 20 floor medical clinic tower / centre back side happen visiting doctor. paragon reached orchard mrt station somerset station. taxi stand side road bideford road .,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,4.0,kishore raga,A huge mall with multiple designer stores supermarket food courts and several juice bars. A pleasant environment and adequate to stroll about if one is wanting to pass the time in a fully air conditioned mall.,feedback,huge mall multiple designer store supermarket food court several juice bars. pleasant environment adequate stroll one wanting pas time fully air conditioned mall.,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Theivendiram Pranavan,"This mall has a variety of stores. A good number of toy shops for children can be found here. In addition, there are many restaurants.",feedback,mall variety stores. good number toy shop child found here. addition many restaurants.,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Steve Capeness,"Amazing high end shopping in Singapore. High energy place, lots of buzz. But prices a bit hot compated to Australia.",feedback,amazing high end shopping singapore. high energy place lot buzz. price bit hot compated australia.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,4.0,Daniel Sin,"This mall house plenty of top brand boutique on ground floor. There is Metro, Marks and Spencer, Muji and many. Interesting they also have medical clinic in this building too. Should also explore the basement for more eateries.",feedback,mall house plenty top brand boutique ground floor. metro mark spencer muji many. interesting also medical clinic building too. also explore basement eateries.,feedback,0.98,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Glenn Wong,"One of the best malls in Orchard. Always smell refreshing and very spacious to shop around. Parking can be expensive and crowded but pleasant to use. There is parking coupons for $20 spent on weekdays after 6pm. Also very family oriented with level 4 dedicated to children shops. 3rd level is where all the sports shops are, while level 1 and 2 are the branded goods. Basement is where all the nice eateries are. The higher floors also contain medical practices where the local and foreigners, especially Indonesians come to.",feedback,one best mall orchard. always smell refreshing spacious shop around. parking expensive crowded pleasant use. parking coupon 20 spent weekday 6pm. also family oriented level 4 dedicated child shops. 3rd level sport shop level 1 2 branded goods. basement nice eatery are. higher floor also contain medical practice local foreigner especially indonesian come to.,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,á€‡á€±á€šá€»á€¬ á€á€„á€ºá€·á€á€±,"This six story shopping center is occupied by upscale retail shops and restaurants. Relatively quite, more public spaces and not too crowded as other malls near by.",feedback,six story shopping center occupied upscale retail shop restaurants. relatively quite public space not crowded mall near by.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,4.0,Faisal,"Nice mall with like 4 floors
There are good numbers of brands here like Prada and others",feedback,nice mall like 4 floor good number brand like prada others,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Choong Huei Seow,"The remodeled and expanded Paragon Mall offers many more food and beverage choices, from Din Tai Fung at the basement level to Sushi Tei on the upper floor. Young toddlers and children always look forward to using the play area located on the top floor of the main Mall building. Parents, remember to bring your child a pair of clean socks!",feedback,remodeled expanded paragon mall offer many food beverage choice din tai fung basement level sushi tei upper floor. young toddler child always look forward using play area located top floor main mall building. parent remember bring child pair clean sock,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Jo G. (Jonae),"Nice shopping place. A lot of branded store from Jimmy choo, versace to sports brand like nike adidas underarmour and Puma. There's a lot of brand to choose from. Food varies as well. There's also spa at the top floor. Good place to buy watches as well as there are a lot of watch store. You go here to shop. I just noticed, there are very rare items for sale. A nice shopping center.",feedback,nice shopping place. lot branded store jimmy choo versace sport brand like nike adidas underarmour puma. lot brand choose from. food varies well. also spa top floor. good place buy watch well lot watch store. go shop. noticed rare item sale. nice shopping center.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Dee Dee,One of my favorite shopping malls in Singapore. Good place for meetings with friends. Have many restaurant in downstairs and coffe shop in outside just opposite The Grand Park Orchard Hotel,feedback,one favorite shopping mall singapore. good place meeting friends. many restaurant downstairs coffe shop outside opposite grand park orchard hotel,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Sushiliah Devi,Lunch at Sopho Paragon at Orchard Road was just amazing. We had a hot pot of chicken soup with rice and fried chicken wings. The food was sumptuous. The price is quite reasonable.,feedback,lunch sopho paragon orchard road amazing. hot pot chicken soup rice fried chicken wings. food sumptuous. price quite reasonable.,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,shabii arif,"Luxury shoppers paradise on earth in Singapore. The best way I can say
Orchard Road is totally dedicated to luxe international brands like gucci, fendi, armani, dkny, chanel, versace, moschino,
There are few malls like ION MALL, LUCKY PLAZA, PARAGON PLAZA, ROBINSON etc and few other.
Over here you can get things for as cheap as 2dollars like stationery or Rolex watches for as high as lac of dollors.
Every mall has multiple levels dedicated for food, clothing, stationery, make up, shoes, electronic, sovaniors, choclates, dried fruits etc.
I brought cosmetics from my favourite brand sephora make up range of benefit and mist and body cream from Victoria secrets at a steal deal.
Over here you can find mc donald or KFC and Starbucks. (comfort food and coffee for many Indian s and foreigners)",feedback,luxury shopper paradise earth singapore. best way say orchard road totally dedicated luxe international brand like gucci fendi armani dkny chanel versace moschino mall like ion mall lucky plaza paragon plaza robinson etc other. get thing cheap 2dollars like stationery rolex watch high lac dollors. every mall multiple level dedicated food clothing stationery make shoe electronic sovaniors choclates dried fruit etc. brought cosmetic favourite brand sephora make range benefit mist body cream victoria secret steal deal. find mc donald kfc starbucks. comfort food coffee many indian foreigner,feedback,0.98,0,0,0,1,0,1
Paragon Shopping Centre,5.0,andy1122,"Visited GLENHILLâ€™s Ladies Apparel located at Metro Paragon Dept Store, 290 Orchard Rd, #02-28 Paragon.
Greatly impressed and fascinated by GLENHILLâ€™s brand ladies fashion.
GLENHILL is a range of ladies contemporary fashion apparel located in the heart of Orchard. Namely Metro Paragon, OG People's Park, OG Albert Park. It caters to professional including Bank and Office executive, Lawyers, MP and Ministers. The Apparel emphasise on good European fabrication, cutting and quality control. Consult GLENHILL promoters to attend to your needs and be flattered with new range of collections always...
Highly recommend ladies to visit GLENHILL especially for the working class ",feedback,visited glenhill lady apparel located metro paragon dept store 290 orchard rd 02-28 paragon. greatly impressed fascinated glenhill brand lady fashion. glenhill range lady contemporary fashion apparel located heart orchard. namely metro paragon og people park og albert park. caters professional including bank office executive lawyer mp ministers. apparel emphasise good european fabrication cutting quality control. consult glenhill promoter attend need flattered new range collection always... highly recommend lady visit glenhill especially working class,feedback,0.96,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Fred C.,High-end Shopping Mall situated in Orchard road. Always a nice experience to shop here. With good variety of F&B options in the basement.,feedback,high-end shopping mall situated orchard road. always nice experience shop here. good variety f b option basement.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Yoong Daren,"Paragon Shopping Centre is an upscale shopping mall at Orchard Road. Itâ€™s usually not crowded here and has a free indoor playground for kids at Level 5 (next to Crystal Jade Golden Palace Restaurant). Many high-end boutiques here and good dining options including Din Tai Fung, Crystal Jade, and PS Cafe. My family comes to this mall most weekends because our daughter enjoys the kids playground, as well as visiting Toys R Us.",feedback,paragon shopping centre upscale shopping mall orchard road. usually not crowded free indoor playground kid level 5 next crystal jade golden palace restaurant . many high-end boutique good dining option including din tai fung crystal jade p cafe. family come mall weekend daughter enjoys kid playground well visiting toy r us.,feedback,1.0,0,0,0,1,0,1
